Hostname,Operating System,Build
ENGRWK73KF9Z1,Windows 10 Enterprise,19044
ENGRWK794R7M2,Windows 10 Enterprise,19041
ENGRWK7B3JC42,Windows 10 Enterprise,19044
ENGRWK86T903,Windows 10 Enterprise,19044
ENGRWK87DJB2,Windows 10 Enterprise,17763
ENGRWK8B28X2,Windows 10 Enterprise,19042
ENGRWK8B6482,Windows 10 Enterprise,19044
ENGRWK8DW903,Windows 10 Enterprise,19042
ENGRWK8G7KQ2,Windows 10 Enterprise,18362
ENGRWK8TFKHQ2,Windows 10 Enterprise,19044
ENGRWK8V1FX2,Windows 10 Enterprise,19041
ENGRWK8WWDX2,Windows 10 Enterprise,18362
ENGRWK8WYDX2,Windows 10 Enterprise,19041
ENGRWK92QD42,Windows 10 Enterprise,19041
ENGRWK9G7DD2,Windows 10 Enterprise,19044
ENGRWKBF89HB2,Windows 10 Enterprise,19042
ENGRWKBFIJHB2,Windows 10 Enterprise,19042
ENGRWKBJ2FX2,Windows 10 Enterprise,19044
ENGRWKBK0FX2,Windows 10 Pro,19044
ENGRWKBM5VBM2,Windows 10 Enterprise,19044
ENGRWKBQ7J1S2,Windows 10 Enterprise,19044
ENGRWKBTWDX2,Windows 10 Enterprise,19044
ENGRWKC4B1T12,Windows 10 Enterprise,19044
ENGRWKCCN3W2,Windows 10 Enterprise,19042
ENGRWKCCVYKH2,Windows 10 Enterprise,19044
ENGRWKCCYXKH2,Windows 10 Enterprise,18363
ENGRWKCCYYKH2,Windows 10 Enterprise,19044
ENGRWKCCZ2LH2,Windows 10 Enterprise,19041
ENGRWKCCZ3LH2,Windows 10 Enterprise,19044
ENGRWKCLL3W2,Windows 10 Enterprise,19041
ENGRWKCSL3W2,Windows 10 Enterprise,19044
ENGRWKCYWKH2,Windows 10 Enterprise,19043
ENGRWKFF2V2L3,Windows 10 Enterprise,19042
ENGRWKG37PS1,Windows 10 Enterprise,19044
ENGRWKG722CZ1,Windows 10 Enterprise,19044
ENGRWKG860FX2,Windows 10 Enterprise,19044
ENGRWKG8S1FX2,Windows 10 Enterprise,19041
ENGRWKG8TZDX2,Windows 10 Enterprise,19042
ENGRWKG8V2FX2,Windows 10 Enterprise,18363
ENGRWKGKB7X2,Windows 10 Enterprise,19041
ENGRWKGMFKD3,Windows 10 Enterprise,19043
ENGRWKH4FGB2,Windows 10 Enterprise,19044
ENGRWKH5B7X2,Windows 10 Enterprise,19044
ENGRWKH7FHQ2,Windows 10 Enterprise,17134
ENGRWKHHPLDX1,Windows 10 Enterprise,19043
ENGRWKHPNDX1,Windows 10 Enterprise,19043
ENGRWKHS97X2,Windows 10 Enterprise,19041
